ifeng.com,210.51.19.61
goo.ne.jp,153.254.147.65
bbc.co.uk,212.58.244.20
yandex.ru,77.88.21.11
myspace.com,216.178.46.224
mail.ru,217.69.139.202
cnet.com,64.30.224.118
go.com,199.181.131.249
4399.com,115.182.52.231
orkut.com,74.125.20.87
skype.com,91.190.218.46
ameblo.jp,180.233.142.129
naver.com,202.131.30.12
flickr.com,69.147.76.173
4shared.com,208.88.224.137
amazon.co.jp,54.240.252.0
linkedin.com,199.101.163.129
dailymotion.com,195.8.215.137
imdb.com,72.21.210.29
aol.com,149.174.107.97
amazon.com,72.21.215.232
wordpress.com,192.0.78.9
tudou.com,123.126.98.149
yahoo.co.jp,183.79.135.206
sohu.com,123.125.116.19
apple.com,17.142.160.59
hao123.com,180.149.132.19
windows.com,134.170.185.46
ebay.com,66.135.216.190
pps.tv,58.83.190.154
xunlei.com,163.177.79.253
56.com,59.32.213.232
fc2.com,54.215.250.132
paypal.com,66.211.169.3
sogou.com,106.120.151.65
tmall.com,110.75.115.70
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,74.125.20.85
